seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,5.0,13.0,9.0,8.0,10.0,12.514343,5.247467,2.9416504,4.4973145,8.807495,96,15
1982,10.0,8.0,12.0,10.0,11.0,10.732208,7.261444,4.3982544,5.1309814,9.089294,92,13
1983,10.0,10.0,7.0,10.0,16.0,13.385376,7.319916,5.0401917,4.311981,8.271576,99,14
1984,7.0,10.0,7.0,6.0,11.0,11.236938,5.8658447,2.73526,2.6972046,5.7745667,103,15
1985,8.0,10.0,8.0,14.0,14.0,13.037323,6.660736,3.353485,5.3209534,8.401947,99,15
1986,14.0,12.0,10.0,7.0,10.0,11.323029,5.3759766,3.1845703,3.0179443,7.758026,99,15
1987,4.0,9.0,12.0,9.0,18.0,11.463776,8.541809,5.6799927,6.002411,8.468994,98,15
1988,10.0,6.0,9.0,5.0,13.0,12.978088,7.994934,5.951538,4.6672974,7.6620483,104,15
1989,9.0,6.0,12.0,12.0,12.0,10.893158,7.1594543,7.724365,7.520233,8.63269,92,13
1990,6.0,9.0,15.0,18.0,11.0,12.375824,8.143829,4.9300537,8.122864,10.15564,90,13
1991,10.0,13.0,9.0,14.0,14.0,14.032593,7.7400208,5.229187,4.8232117,9.631836,102,15
1992,5.0,14.0,11.0,8.0,20.0,11.712585,9.10202,6.505707,6.0359497,9.821777,95,14
1993,10.0,11.0,12.0,12.0,14.0,12.248016,8.532928,6.411499,6.517914,7.7851257,99,14
1994,12.0,12.0,12.0,10.0,7.0,13.215912,7.1671143,5.4579773,5.336151,7.0485535,95,14
1995,5.0,9.0,8.0,11.0,11.0,13.556915,8.429199,5.174713,5.5235596,8.867432,100,15
1996,9.0,12.0,9.0,11.0,13.0,11.073669,6.2803955,5.036957,4.55896,8.3116455,98,14
1997,13.0,9.0,12.0,8.0,10.0,12.478027,7.8307495,4.703949,5.8220825,9.465088,91,14
1998,13.0,12.0,18.0,14.0,10.0,13.7074585,8.371368,5.054291,7.683563,9.027649,95,14
1999,5.0,5.0,7.0,10.0,13.0,12.760986,8.893677,5.5217285,5.4501953,9.805237,96,14
2000,9.0,10.0,18.0,7.0,12.0,12.408966,7.3688354,6.3148804,4.21521,8.602325,96,14
2001,10.0,8.0,19.0,13.0,13.0,12.937653,8.091339,4.66037,6.3757935,8.977936,94,14
2002,9.0,11.0,12.0,5.0,10.0,11.953888,6.8980713,5.8493958,6.533783,10.067505,87,13
2003,7.0,13.0,15.0,13.0,14.0,9.912811,7.503113,4.6338196,6.7430725,7.807556,91,14
2004,17.0,10.0,7.0,9.0,10.0,14.636536,7.8810425,4.5936584,7.14682,8.72467,93,14
2005,8.0,10.0,11.0,9.0,14.0,13.847382,9.158142,5.0229187,4.5475464,7.609131,98,14
2006,5.0,11.0,12.0,11.0,12.0,13.079285,4.739685,5.6550903,5.912079,8.123413,97,14
2007,13.0,12.0,8.0,7.0,9.0,13.071075,8.162018,6.1676636,8.075317,9.228699,92,14
2008,3.0,13.0,8.0,5.0,13.0,12.519592,8.434723,5.795044,4.829315,8.997467,95,14
2009,10.0,9.0,10.0,11.0,8.0,12.114563,8.258789,5.8389587,8.212952,9.282074,91,14
2010,10.0,12.0,10.0,11.0,17.0,12.182831,7.486206,5.3557434,7.455902,8.37561,91,13
2011,6.0,13.0,7.0,10.0,6.0,11.955017,7.314636,2.782318,6.6322937,6.8468933,97,14
2012,7.0,6.0,8.0,11.0,9.0,14.42691,6.8441772,4.5117493,4.072632,8.187317,97,14
2013,11.0,14.0,4.0,11.0,7.0,11.33017,5.965576,4.5613403,5.6624756,9.599121,87,13
2014,9.0,7.0,9.0,9.0,12.0,11.999695,6.921509,6.035248,5.7812195,9.16571,89,13
2015,8.0,14.0,10.0,10.0,9.0,13.250183,5.5486145,5.8163147,5.719574,8.923126,91,14
2016,14.0,10.0,8.0,10.0,8.0,14.161713,8.835632,5.544647,6.113373,9.279755,94,13
2017,11.0,13.0,6.0,8.0,8.0,12.985046,9.0336,5.6786194,5.921356,8.105377,97,14
2018,7.0,4.0,13.0,4.0,9.0,12.156036,6.02771,4.4060974,4.3391724,9.522888,88,13
2019,7.0,12.0,7.0,7.0,12.0,12.6987,8.52002,6.4683228,7.099365,9.389313,95,14
2020,7.0,10.0,11.0,10.0,10.0,13.047058,9.04303,7.7373047,7.3369446,9.828247,96,14
2021,7.0,5.0,10.0,7.0,11.0,13.572815,6.9963074,5.229187,7.2071533,10.765137,85,12
2022,8.0,4.0,4.0,5.0,11.0,12.898499,7.7448425,5.2725525,4.333954,10.10733,91,13
2023,5.0,6.0,6.0,10.0,12.0,14.263245,6.7914124,5.694916,6.618103,11.16394,90,13
2024,8.0,8.0,12.0,16.0,13.0,13.327667,8.393402,6.340088,7.420929,9.254181,96,14
2025,11.0,6.0,5.0,9.0,13.0,14.002899,7.6157227,5.1347046,3.8848267,9.183746,94,14
